01, 628
02, 451
03, 391
04, 380
05, 387
06, 369
07, 347
08, 344
09, 336
10, 341
11, 340
12, 333
13, 326
14, 328
15, 322
16, 328
17, 323
18, 323
19, 325
20, 325
21, 324
22, 324
23, 319
24, 322
25, 316
26, 316
27, 318
28, 318
29, 307
30, 321
31, 319
32, 320
33, 320
34, 320
35, 320
36, 320
37, 327
38, 323
39, 325
40, 321
41, 322
42, 316
43, 326
44, 320
45, 324
46, 329
47, 316
48, 326
49, 318
50, 316
51, 316
52, 321
53, 322
54, 322
55, 321
56, 323
57, 328
58, 315
59, 314
60, 319
61, 312
62, 304
63, 304
64, 304
65, 304
66, 304
67, 304
68, 304
69, 304
70, 304
71, 304
72, 304
73, 304
74, 304
75, 304
76, 304
77, 304
78, 304
79, 304
80, 304
81, 304
82, 304
83, 304
84, 304
85, 304
86, 304
87, 304
88, 304
89, 304
90, 304
91, 304
92, 304
93, 304
94, 304
95, 304
96, 304
97, 304
98, 304
99, 304
