01, 0.38
02, 0.52
03, 0.61
04, 0.67
05, 0.70
06, 0.71
07, 0.73
08, 0.75
09, 0.75
10, 0.75
11, 0.79
12, 0.77
13, 0.78
14, 0.79
15, 0.78
16, 0.79
17, 0.79
18, 0.80
19, 0.79
20, 0.80
21, 0.81
22, 0.80
23, 0.79
24, 0.80
25, 0.81
26, 0.81
27, 0.80
28, 0.80
29, 0.81
30, 0.80
31, 0.81
32, 0.81
33, 0.82
34, 0.82
35, 0.81
36, 0.81
37, 0.81
38, 0.80
39, 0.81
40, 0.81
41, 0.81
42, 0.82
43, 0.81
44, 0.81
45, 0.81
46, 0.81
47, 0.81
48, 0.81
49, 0.81
50, 0.81
51, 0.81
52, 0.80
53, 0.80
54, 0.82
55, 0.81
56, 0.81
57, 0.80
58, 0.80
59, 0.81
60, 0.81
61, 0.80
62, 0.81
63, 0.81
64, 0.81
65, 0.81
66, 0.81
67, 0.81
68, 0.81
69, 0.81
70, 0.81
71, 0.81
72, 0.81
73, 0.81
74, 0.81
75, 0.81
76, 0.81
77, 0.81
78, 0.81
79, 0.81
80, 0.81
81, 0.81
82, 0.81
83, 0.81
84, 0.81
85, 0.81
86, 0.81
87, 0.81
88, 0.81
89, 0.81
90, 0.81
91, 0.81
92, 0.81
93, 0.81
94, 0.81
95, 0.81
96, 0.81
97, 0.81
98, 0.81
99, 0.81
