01, 340
02, 277
03, 275
04, 275
05, 264
06, 251
07, 256
08, 252
09, 256
10, 244
11, 245
12, 247
13, 234
14, 237
15, 235
16, 238
17, 243
18, 246
19, 251
20, 236
21, 247
22, 235
23, 247
24, 238
25, 236
26, 236
27, 239
28, 238
29, 233
30, 236
31, 236
32, 239
33, 239
34, 239
35, 234
36, 233
37, 233
38, 233
39, 239
40, 243
41, 241
42, 236
43, 235
44, 238
45, 232
46, 244
47, 233
48, 236
49, 238
50, 236
51, 236
52, 236
53, 235
54, 236
55, 249
56, 244
57, 239
58, 239
59, 234
60, 237
61, 238
62, 242
63, 242
64, 242
65, 242
66, 242
67, 242
68, 242
69, 242
70, 242
71, 242
72, 242
73, 242
74, 242
75, 242
76, 242
77, 242
78, 242
79, 242
80, 242
81, 242
82, 242
83, 242
84, 242
85, 242
86, 242
87, 242
88, 242
89, 242
90, 242
91, 242
92, 242
93, 242
94, 242
95, 242
96, 242
97, 242
98, 242
99, 242
